"Controller","duration_d","CO2_total_gh"
"Adrian's Farm-House 2",0.0361111111111111,2.38427277032309
"Adrian's Farm-House 3",0.0361111111111111,1.6864368375456
"Adrian's Farm-House 4",0.0361111111111111,5.10442832982531
"Adrian's Farm-House 2",0.0375,2.37700364602332
"Adrian's Farm-House 3",0.0375,1.44052768135597
"Adrian's Farm-House 4",0.0375,5.0725256527639
"Adrian's Farm-House 2",0.0388773148148148,2.92537929136905
"Adrian's Farm-House 3",0.0388773148148148,1.63324812315707
"Adrian's Farm-House 4",0.0388773148148148,5.56223174565651
"Adrian's Farm-House 2",0.0402777777777778,2.77432334250563
"Adrian's Farm-House 3",0.0402777777777778,1.52119723151191
"Adrian's Farm-House 4",0.0402777777777778,5.43267142936824
"Adrian's Farm-House 2",0.0416666666666667,2.97856800575758
"Adrian's Farm-House 3",0.0416666666666667,1.63324812315707
"Adrian's Farm-House 4",0.0416666666666667,5.55815529247644
"Adrian's Farm-House 2",0.0430555555555556,2.90764971990621
"Adrian's Farm-House 3",0.0430555555555556,1.62331956313788
"Adrian's Farm-House 4",0.0430555555555556,5.59732469042406
"Adrian's Farm-House 2",0.0444444444444444,2.92634715879382
"Adrian's Farm-House 3",0.0444444444444444,1.61835528312828
"Adrian's Farm-House 4",0.0444444444444444,5.54468527327274
"Adrian's Farm-House 2",0.0458333333333333,2.83483230219154
"Adrian's Farm-House 3",0.0458333333333333,1.51658754293157
"Adrian's Farm-House 4",0.0458333333333333,5.41547943117404
"Adrian's Farm-House 2",0.0472222222222222,2.75076632926619
"Adrian's Farm-House 3",0.0472222222222222,1.44052768135597
"Adrian's Farm-House 4",0.0472222222222222,5.37666450741599
"Adrian's Farm-House 2",0.0486111111111111,2.9086117214678
"Adrian's Farm-House 3",0.0486111111111111,1.61835528312828
"Adrian's Farm-House 4",0.0486111111111111,5.56223174565651
"Adrian's Farm-House 2",0.05,2.53953727071326
"Adrian's Farm-House 3",0.05,1.19887362231743
"Adrian's Farm-House 4",0.05,5.20155425776781
"Adrian's Farm-House 2",0.0513888888888889,2.4068761995146
"Adrian's Farm-House 3",0.0513888888888889,1.0914324192526
"Adrian's Farm-House 4",0.0513888888888889,5.05824673834903
"Adrian's Farm-House 2",0.0527777777777778,2.30507478926323
"Adrian's Farm-House 3",0.0527777777777778,1.15242214508478
"Adrian's Farm-House 4",0.0527777777777778,5.07420335266559
"Adrian's Farm-House 2",0.0541666666666667,1.87286218162805
"Adrian's Farm-House 3",0.0541666666666667,1.65558738320025
"Adrian's Farm-House 4",0.0541666666666667,5.07420335266559
"Adrian's Farm-House 2",0.0555555555555556,2.43596231672928
"Adrian's Farm-House 3",0.0555555555555556,1.65558738320025
"Adrian's Farm-House 4",0.0555555555555556,5.02633350971591
"Adrian's Farm-House 2",0.0569328703703704,1.8418251663075
"Adrian's Farm-House 3",0.0569328703703704,1.69671998899405
"Adrian's Farm-House 4",0.0569328703703704,5.07420335266559
"Adrian's Farm-House 2",0.0583333333333333,1.74343824596079
"Adrian's Farm-House 3",0.0583333333333333,1.63502108030336
"Adrian's Farm-House 4",0.0583333333333333,5.04229012403247
"Adrian's Farm-House 2",0.0597222222222222,1.80943590826845
"Adrian's Farm-House 3",0.0597222222222222,1.64584858385495
"Adrian's Farm-House 4",0.0597222222222222,5.07420335266559
"Adrian's Farm-House 2",0.0611111111111111,1.87915924506123
"Adrian's Farm-House 3",0.0611111111111111,1.67156496797768
"Adrian's Farm-House 4",0.0611111111111111,5.01037689539935
"Adrian's Farm-House 2",0.0625,2.29022532991837
"Adrian's Farm-House 3",0.0625,1.6407053070304
"Adrian's Farm-House 4",0.0625,5.05824673834903
"Adrian's Farm-House 2",0.0638888888888889,2.36402916733769
"Adrian's Farm-House 3",0.0638888888888889,1.68699479845132
"Adrian's Farm-House 4",0.0638888888888889,5.09015996698215
"Adrian's Farm-House 2",0.0652777777777778,2.30583768014169
"Adrian's Farm-House 3",0.0652777777777778,1.68185152162678
"Adrian's Farm-House 4",0.0652777777777778,5.09015996698215
"Adrian's Farm-House 2",0.0666666666666667,2.1596493098688
"Adrian's Farm-House 3",0.0666666666666667,1.13152090140028
"Adrian's Farm-House 4",0.0666666666666667,5.01037689539935
